pertanyaan,jawaban,konteks
"leres atanapi henteu kadaharan sabangsa lepeut anu dijieun tina beas beunang ngagigihan, biasana make jeroan mangrupa daging ragot nyaeta bacang",leres,bacang nyaeta sajenis leupeut nu dijerona aya eusian jeung bentukna kerucut jiga aseupan
leres atanapi henteu salah sahiji kadaharan anu mun didahar nyakrek naminateh citruk,leres,citruk nyaeta kadaharan tina aci jeung tarigu mun di gegel nyakrek
"leres atanapi henteu kadaharan anu dijieun na tina tipung beas, terus dijero na aya cau an jeung rasa na amis namina nagasari",leres,"nagasari nyaeta kadaharan sabangsaning leupeut , dijieun na tina tipung beas jeung dijero na aya cauan tur rasa na amis legit"
leres atanapi henteu kadaharan nu matak seger aya gagangan naminateh es lilin,leres,es lilin nyaeta kadaharan nu matak seger terus make gagang jang nyekelan na
leres atanapi henteu salah sahiji kadaharan khas bandung anu dijieun make proses fermentasi teh namina peuyeum,leres,Peuyeum nyaeta salah sahiji kadaharan khas daerah bandung anu dijieun tina fermentasi sampeu atawa ketan
leres atanapi henteu kadaharan anu dijieun tina beleum peyeum teh namina colenak,leres,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna
leres atanapi henteu kadaharan anu dijieun tina lalab atah teh namina karedok,leres,Karédok nyaéta kadaharan sabangsa loték anu bahanna tina lalab atah
leres atanapi henteu kadaharan olahan tipung ketan anu warnana katempo nyurup jeung baluran parud kalapa tur ngabogaan eusi gula bereum teh namina kelepon,leres,"kelepon atawa klepon nyaeta kadaharan olahan tipung ketan anu dikulub ngabentuk bal leutik dieusian gula bereum, warnana katempo nyurup jeung baluran parud kalapa."
leres atanapi henteu kadaharan olahan tipung ketan anu dibalur make siki wijen tur ngabogaan eusi kacang hejo teh namina onde,leres,onde atawa onde-onde nyaeta kadaharan olahan tipung ketan anu digoreng ngabentuk bal leutik dieusian kacang hejo tuluy dibalur make siki wijen
"leres atanapi henteu kadaharan  mangrupa gorengan olahan tipung tarigu anu dicampurkeun jeung sayur sabangsa toge, kol jeung wortel teh namina bala bala",leres,"bala-bala nyaeta gorengan olahan tipung tarigu anu dicampurkeun jeung sayur sabangsa toge, kol jeung wortel"
leres atanapi henteu kadaharan mangrupa gorengan olahan tahu anu dieusian ku sayur sabangsa toge jeung nu sejenna tuluy  dibalur adonan tipung tarigu teh namina gehui,leres,gehu nyaeta  gorengan olahan tahu anu dieusian ku sayur sabangsa toge jeung nu sejenna tuluy  dibalur adonan tipung tarigu
leres atanapi henteu kadaharan mangrupa gorengan olahan tempe anu dikereutan ipis-ipis tuluy dibalur ku adonan aci teh namina cipe,leres,cipe nyaeta gorengan olahan tempe anu dikereutan ipis-ipis tuluy dibalur ku adonan aci
leres atanapi henteu jajanan khas bandung anu dijieun tina adonan aci ngabentuk bal laleutik tuluy digoreng dina lisah panas namina cimol,leres,cimol nyaeta jajanan khas bandung anu dijieun tina adonan aci ngabentuk bal laleutik tuluy digoreng dina lisah panas
leres atanapi henteu kadaharan olahan aci sampeu anu dibumbuan ku bawang bodas lemes tuluy digoreng saenggeus kalis namina cireng,leres,cireng nyaeta kadaharan olahan aci sampeu anu dibumbuan ku bawang bodas lemes tuluy digoreng saenggeus kalis
"leres atanapi henteu kadaharan olahan aci anu ilaharna sok dieusian ku gajih tuluy dikulub, didahar ku cara dicolok namina cilok",leres,"cilok nyaeta kadaharan olahan aci anu ilaharna sok dieusian ku gajih tuluy dikulub, didahar ku cara dicolok"
leres atanapi henteu kadaharan olahan lumpia anu dieusian ku aci baseuh tur lamun digoreng bakal ngambay namina cibay,leres,cibay nyaeta  kadaharan olahan lumpia anu dieusian ku aci baseuh tur lamun digoreng bakal ngambay
"leres atanapi henteu kadaharan khas daerah garut anu rasana amis tur gurih, lamun dicolok ku awi katingali ngaburayot namina burayot",leres,"burayot nyaeta kadaharan khas daerah garut anu rasana amis tur gurih, lamun dicolok ku awi katingali ngaburayot"
leres atanapi henteu kadaharan anu wanguna kawas kongkolak kembang saroja namina saroja,leres,saroja nyeta kadaharan anu wangunna kawas kongkolak kembang saroja
leres atanapi henteu kadaharan olahan cau jeung coklat anu dibungkus ku lumpia namina piscok,leres,piscok nyaeta kadaharan olahan cau jeung coklat anu dibungkus ku lumpia
leres atanapi henteu kadaharan  mangrupa gorengan anu bahan utamana lauk tanggiri nu dicampur jeung aci atawa tipung sagu namina batagor,leres,batagor nyaeta kadaharan gorengan anu bahan utamana lauk tanggiri nu dicampur jeung aci atawa tipung sagu
"leres atanapi henteu kadaharan anu dijieun tina tipung béas, kalapa nu geus diparud, jeung cipati nu diasakan dina citakan tur miboga rasa amis jeung asin namina bandros",leres,"bandros nyaeta kadaharan anu dijieun tina tipung béas, kalapa nu geus diparud, jeung cipati nu diasakan dina citakan tur miboga rasa amis jeung asin"
"leres atanapi henteu kadaharan olahan kawas sambel anu dijieun tina leunca, oncom, cabe jeung daun surawung anu disamaraan namina ulukutek",leres,"Ulukutek nyaéta olahan kawas sambel nu dijieun tina leunca, oncom, cabé, jeung daun surawung nu disamaraan"
leres atanapi henteu kadaharan olahan aci anu dijieun ku cara digulung make awi namina cilung,leres,cilung nyaeta kadaharan olahan aci anu dijieun ku cara digulung make awi
"leres atanapi henteu inuman olahan tipung hunkwe anu dijieun ku cara digéréntél-géréntél, didaharna maké peueut dicipatian namina cendol",leres,"cendol nyaeta  inuman olahan tipung hunkwe anu dijieun ku cara digéréntél-géréntél, didaharna maké peueut dicipatian"
"leres atanapi henteu inuman olahan tipung beas atawa tipung ketan anu didaharna make es parud, cai gula bereum jeung cipati namina dawet",leres,"dawet nyaeta inuman olahan tipung beas atawa tipung ketan anu didaharna make es parud, cai gula bereum jeung cipati"
leres atanapi henteu kadaharan  mangrupa gorengan olahan aci anu bahan utamana kurupuk kulub namina cipuk,leres,cipuk nyaeta gorengan olahan aci anu bahan utamana kurupuk kulub
"leres atanapi henteu kadaharan anu dijieun tina adonan tipung béas ketan, aci, jeung kalapa anu dicitak buleud siga bola, tur digoreng dina lisah panas namina gemlong",leres,"gemlong nyaeta kadaharan anu dijieun tina adonan tipung béas ketan, aci, jeung kalapa anu dicitak buleud siga bola, tur digoreng dina lisah panas"
leres atanapi henteu kadaharan sabangsa roti anu wanguna aya anu lonyod aya ogé rada masagi kawas bantal dijieun tina adonan tarigu jeung gula namina odading,leres,odading nyaeta kadaharan sabangsa roti anu wangunna aya anu lonyod aya ogé rada masagi kawas bantal dijieun tina adonan tarigu jeung gula
leres atanapi henteu kadaharan anu bahan poko nyieunna tina daging nu saterusna disamaraan ogé dikulub mangjam-jam namina gepuk,leres,Gepuk nyaéta jinis kadaharan anu bahan poko nyieunna tina daging nu saterusna disamaraan ogé dikulub mangjam-jam
"leres atanapi henteu kadaharan anu wanguna ngagéblég kalawan geunyal, dijieun tina hasil olahan jukut laut namina ager",leres,"Ager nyaeta kadaharan anu wanguna ngagéblég kalawan geunyal, dijieun tina hasil olahan jukut laut "
"leres atanapi henteu kadaharan khas urang sunda anu dijieunna tina tipung béas, tipung kétan, gula beureum, kalapa parud jeung bentukna krucut namina awug",leres,"Awug nyaeta kadaharan khas urang sunda anu dijieunna tina tipung béas, tipung kétan, gula beureum, kalapa parud jeung bentukna krucut"
leres atanapi henteu kadaharan anu dijieun tina tipung béas dicampur tipung sagu jeung cipati tuluy dicitak dina cangkir cangklekan namina apem,leres,Apem nyaeta kadaharan anu dijieun tina tipung béas dicampur tipung sagu jeung cipati tuluy dicitak dina cangkir cangklekan
leres atanapi henteu kadaharan anu dijieun tina sarupaning bungbuahan jeung sayuran anu diasinkeun namina asinan,leres,Asinan nyaeta kadaharan anu dijieun tina sarupaning bungbuahan jeung sayuran anu diasinkeun
leres atanapi henteu kadaharan nu dijieunna tina daun sampeu atawa daun gedang jeung biasana sok disayur namina buntil,leres,"buntil nyaeta kadaharan nu dijieunna tina sabangsaning dadaunan , aya daun sampeu jeung daun gedang biasana sok dijieun sayur "
leres atanapi henteu kadaharan nu dijieunna tina tipung tarigu jeung bentukna buleud leutik siga sorabi rasana amis namina cuhcur,leres,cuhcur nyaeta kadaharan nu dijieun na tina tipung tarigu jeung gula beureum bentuk na buleud jiga sorabi leutik rasana amis legit
leres atanapi henteu kadaharan anu bentukna siga kembang keur mekar  namina carabikang,leres,carabikang nyaeta kadaharan nu bentukna jiga kembang keur mekar
leres atanapi henteu kadaharan nu eusina bubuahan ngora nu diisrud jeung aya kuahan namina rujak,leres,rujak nyaeta kadaharan nu eusina bubuahan ngora nu diisrud tuluy diasupkeun kana kuah nu geus diracik jeung bumbu
leres atanapi henteu salah sahiji kadaharan khas cirebon teh nyaeta simping,henteu,nasi jamblang nyaeta salah sahiji kadaharan khas daerah cirebong
leres atanapi henteu salah sahiji kadaharan khas purwakarta nyaeta nasi jamblang,henteu,simping nyaeta salah sahiji kadaharan khas daerah purwakarta
leres atanapi henteu salah sahiji kadaharan khas cianjur teh nyaeta dodol,henteu,tauco nyaeta salah sahiji kadaharan khas daerah cianjur
leres atanapi henteu salah sahiji kadaharan khas garut teh nyaeta tauco,henteu,dodol nyaeta salah sahiji kadaharan khas daerah garut
leres atanapi henteu salah sahiji kadaharan khas tasikmalaya teh nyaeta comro,henteu,tutug oncom nyaeta salah sahiji kadaharan khas daerah tasikmalaya
leres atanapi henteu salah sahiji kadaharan nu dijieun na tina sampeu teh nyaeta tutug oncom,henteu,comro nyaeta salah sahiji kadaharan anu dijieunna tina sampeu jeung cipati
leres atanapi henteu salah sahiji kadaharan nu dijieun na tina ketan teh nyaeta lotek,henteu,opak nyaeta salah sakiji kadaharan nu dijieunna tina ketan
leres atanapi henteu salah sahiji kadaharan nu eusina sayur make bumbu kacang teh nyaeta opak,henteu,lotek nyaeta salah sahiji kadaharan tina sayur sayuran atah atawa asak meunang ngulub terus digalokeun jeung bumbu kacang
leres atanapi henteu kadaharan nu nuju viral jaman kiwari teh nyaeta bakecrot,henteu,seblak nyaeta kadaharan jaman kiwari anu keur viral atawa terkenal di sakabeh kalangan
leres atanapi henteu sampeu nu asalna diparud dikalapaan tuluy di gulaan naminateh seblak,henteu,bakecrot kadaharan nu dijieun na tina sampeu tuluy di awuran parud kalapa dijerona aya gula beureum cair
leres atanapi henteu salah sahiji kadaharan khas Sumedang anu dijieunna tina olahan kacang kedele teh nyaeta galendo,henteu,tahu nyaeta kadaharan nu bahan na tina kacang kedele
leres atanapi henteu salah sahiji kadaharan khas Ciamis anu dijieunna tina kalapa teh nyaeta tahu,henteu,galendo nyaeta kadaharan khas ciamis anu dijieun na tina kalapa
"leres atanapi heteu kadaharan anu biasa dijadikeun batur dahar, boh dahar sangu atawa dahareun beurat sejenna namina bacang",henteu,kurupuk nyaeta kadaharan nu sok dijadikeun rencang sangu
"leres atanapi henteu kadaharan sabangsa lepeut anu dijieun tina beas beunang ngagigihan, biasana make jeroan mangrupa daging ragot nyaeta kurupuk",henteu,bacang nyaeta sajenis leupeut nu dijerona aya eusian jeung bentukna kerucut jiga aseupan
leres atanapi henteu salah sahiji kadaharan anu mun didahar nyakrek naminateh nagasari,henteu,citruk nyaeta kadaharan tina aci jeung tarigu mun di gegel nyakrek
"leres atanapi henteu kadaharan anu dijieun na tina tipung beas, terus dijero na aya cau an jeung rasa na amis namina citruk",henteu,"nagasari nyaeta kadaharan sabangsaning leupeut , dijieun na tina tipung beas jeung dijero na aya cauan tur rasa na amis legit"
leres atanapi henteu kadaharan nu matak seger aya gagangan naminateh peuyeum,henteu,es lilin nyaeta kadaharan nu matak seger terus make gagang jang nyekelan na
leres atanapi henteu salah sahiji kadaharan khas bandung anu dijieun make proses fermentasi teh namina es lilin,henteu,Peuyeum nyaeta salah sahiji kadaharan khas daerah bandung anu dijieun tina fermentasi sampeu atawa ketan
leres atanapi henteu kadaharan anu dijieun tina beleum peyeum teh namina karedok,henteu,colenak nyaeta kadaharan anu dijieun tina beleum peyeum sampeu anu sok ditambihan kinca pikeun rasa amisna
leres atanapi henteu kadaharan anu dijieun tina lalab atah teh namina colenak,henteu,Karédok nyaéta kadaharan sabangsa loték anu bahanna tina lalab atah
leres atanapi henteu kadaharan olahan tipung ketan anu warnana katempo nyurup jeung baluran parud kalapa tur ngabogaan eusi gula bereum teh namina onde,henteu,"kelepon atawa klepon nyaeta kadaharan olahan tipung ketan anu dikulub ngabentuk bal leutik dieusian gula bereum, warnana katempo nyurup jeung baluran parud kalapa."
leres atanapi henteu kadaharan olahan tipung ketan anu dibalur make siki wijen tur ngabogaan eusi kacang hejo teh namina kelepon,henteu,onde atawa onde-onde nyaeta kadaharan olahan tipung ketan anu digoreng ngabentuk bal leutik dieusian kacang hejo tuluy dibalur make siki wijen
"leres atanapi henteu kadaharan  mangrupa gorengan olahan tipung tarigu anu dicampurkeun jeung sayur sabangsa toge, kol jeung wortel teh namina gehu",henteu,"bala-bala nyaeta gorengan olahan tipung tarigu anu dicampurkeun jeung sayur sabangsa toge, kol jeung wortel"
leres atanapi henteu kadaharan mangrupa gorengan olahan tahu anu dieusian ku sayur sabangsa toge jeung nu sejenna tuluy  dibalur adonan tipung tarigu teh namina balabala,henteu,gehu nyaeta  gorengan olahan tahu anu dieusian ku sayur sabangsa toge jeung nu sejenna tuluy  dibalur adonan tipung tarigu
leres atanapi henteu kadaharan mangrupa gorengan olahan tempe anu dikereutan ipis-ipis tuluy dibalur ku adonan aci teh namina cimol,henteu,cipe nyaeta gorengan olahan tempe anu dikereutan ipis-ipis tuluy dibalur ku adonan aci
leres atanapi henteu jajanan khas bandung anu dijieun tina adonan aci ngabentuk bal laleutik tuluy digoreng dina lisah panas namina cipe,henteu,cimol nyaeta jajanan khas bandung anu dijieun tina adonan aci ngabentuk bal laleutik tuluy digoreng dina lisah panas
leres atanapi henteu kadaharan olahan aci sampeu anu dibumbuan ku bawang bodas lemes tuluy digoreng saenggeus kalis namina cilok,henteu,cimol nyaeta kadaharan olahan aci sampeu anu dibumbuan ku bawang bodas lemes tuluy digoreng saenggeus kalis
"leres atanapi henteu kadaharan olahan aci anu ilaharna sok dieusian ku gajih tuluy dikulub, didahar ku cara dicolok namina cireng",henteu,"cilok nyaeta kadaharan olahan aci anu ilaharna sok dieusian ku gajih tuluy dikulub, didahar ku cara dicolok"
leres atanapi henteu kadaharan olahan lumpia anu dieusian ku aci baseuh tur lamun digoreng bakal ngambay namina burayot,henteu,cibay nyaeta  kadaharan olahan lumpia anu dieusian ku aci baseuh tur lamun digoreng bakal ngambay
"leres atanapi henteu kadaharan khas daerah garut anu rasana amis tur gurih, lamun dicolok ku awi katingali ngaburayot namina cibay",henteu,"burayot nyaeta kadaharan khas daerah garut anu rasana amis tur gurih, lamun dicolok ku awi katingali ngaburayot"
leres atanapi henteu kadaharan anu wanguna kawas kongkolak kembang saroja namina piscok,henteu,saroja nyeta kadaharan anu wangunna kawas kongkolak kembang saroja
leres atanapi henteu kadaharan olahan cau jeung coklat anu dibungkus ku lumpia namina saroja,henteu,piscok nyaeta kadaharan olahan cau jeung coklat anu dibungkus ku lumpia
leres atanapi henteu kadaharan  mangrupa gorengan anu bahan utamana lauk tanggiri nu dicampur jeung aci atawa tipung sagu namina bandros,henteu,batagor nyaeta kadaharan gorengan anu bahan utamana lauk tanggiri nu dicampur jeung aci atawa tipung sagu
"leres atanapi henteu kadaharan anu dijieun tina tipung béas, kalapa nu geus diparud, jeung cipati nu diasakan dina citakan tur miboga rasa amis jeung asin namina batagor",henteu,"bandros nyaeta kadaharan anu dijieun tina tipung béas, kalapa nu geus diparud, jeung cipati nu diasakan dina citakan tur miboga rasa amis jeung asin"
